Lexeme	WC	Flexion
biolog	N	–ip, –it
biologi	N	–ip, –it
biologi	N	–p, –t
biologii	N	–p, –t
biopsi	N	{–ip, –p}, {–it, –t}
bioteknologi	N	–ip, –it
bioteknologi	N	–p, –t
birkesi	N	–p, –t
biskop	N	–ip, –it
biskopi	N	–p, –t
bismeri	N	–p, –t
blanket	N	–ip, –it
blok	N	–ip, –it
blokfløjt¦e	N	–ip, {–er, –it}
blokfløjt¦i	N	–ip, {–er, –it}
bloktilskudi	N	–p, –t
blomkål	N	–ip, –it
blomkåli	N	–p, –t
boksi	N	–p, –t
bonus¦si	N	{–-ip, –sip}, {–-it, –sit}
borgmester	N	–ip, –it
borgmesteri	N	–p, –t
borgmesteriune¦q	N	–rup, –rit
borgmesteriusimas¦oq	N	–up, –ut
bowlingerne¦q	N	–rup, –rit
brainstorming	N	–ip, –it
bredbånd	N	–ip, –it
bridg¦e	N	–ip, {–er, –it}
brint	N	–ip, –it
brinti	N	–p, –t
bronz¦e	N	–ip, {–er, –it}
bronzinnanniunne¦q	N	–rup, –rit
bronzinna¦ppoq	V	–nngilaq
Brugseni	N	–p, –t
brugseni	N	–p, –t
brugsforeningit	N, pl.	-
brugsi	N	–p, –t
brøki	N	–p, –t
bulimi¦i	N	{–ip, –p}, {–it, –t}
bulldozer	N	–ip, –it
bulldozeri	N	–p, –t
bundgarnersorne¦q	N	–rup, –rit
bundgarnit	N, pl.	-
bungalowi	N	–p, –t
busserne¦q	N	–rup, –rit
bus¦si	N	{–-ip, –sip}, {–-it, –sit}
bus¦sit	N, pl.	{–-it, –sit}
bus¦siutileqatigiiffik	N	{–-iutileqatigiiffiup, –siutileqatigiiffiup, –-iuseqatigiiffiup, –siuseqatigiiffiup}, {–-iutileqatigiiffiit, –siutileqatigiiffiit, –-iuseqatigiiffiit, –siuseqatigiiffiit}
bygderåd	N	–ip, –it
bygderådi	N	–p, –t
byggelederi	N	–p, –t
bånd	N	–ip, –it
båndi	N	–p, –t
båndoptager	N	–ip, –it
båndoptageri	N	–p, –t
børnehav¦e	N	–ip, {–er, –it}
børst¦e	N	–ip, {–er, –it}
børste¦rpaa	V	–nngilaa
børstiliort¦oq	N	–up, –ut
børstit	N, pl.	-
C-vitamini	N	–p, –t
cadmium	N	–ip, –it
campeqarfi¦k	N	–up, –it
cand. mag.	N	–ip, –it
cannabis	N	–ip, –it
cell¦e	N	–ip, {–er, –it}
cell¦o	N	–up, –ut
cellofan	N	–ip, –it
cellofani	N	–p, –t
celsius	N	–ip, –it
celsiusi	N	–p, –t
cement	N	–ip, –it
cementi	N	–p, –t
cementili¦orpoq	V	–unngilaq
censori	N	–p, –t
centeri	N	–p, –t
centiliteri	N	–p, –t
centrifug¦e	N	–ip, {–er, –it}
champagn¦e	N	–ip, {–er, –it}
champignoni	N	–p, –t
chatte¦rpoq	V	–nngilaq
chauffør	N	–ip, –it
chaufføri	N	–p, –t
check	N	–ip, –it
checki	N	–p, –t
chimpans¦e	N	–ip, {–er, –it}
cigaret	N	–ip, –it
cikori¦e	N	–ap, –at
cirkel	N	–ip, –it
cirkeli	N	–p, –t
cirkus	N	–ip, –it
cirkusi	N	–p, –t
citron	N	–ip, –it
citroni	N	–p, –t
civilingeniøri	N	–p, –t
cm	N	–ip, –it
collag¦e	N	–ip, {–er, –it}
computeri	N	–p, –t
container	N	–ip, –it
containereqarfi¦k	N	–up, –it
coronavirus	N	–ip, –it
crem¦e	N	–ip, {–er, –it}
cykel	N	–ip, –it
cykel¦erpoq	V	–inngilaq
cykeli	N	–p, –t
cykl¦erpoq	V	{–enngilaq, –inngilaq}
cyklert¦oq	N	–up, –ut
cylinder	N	–ip, –it
cylinderi	N	–p, –t
cypres	N	–ip, –it
D-vitamini	N	–p, –t
daddeli	N	–p, –t
danskit	N, pl.	-
datamat	N	–ip, –it
datamati	N	–p, –t
deciliter	N	–ip, –it
deciliteri	N	–p, –t
decimalbrøk	N	–ip, –it
decimalbrøki	N	–p, –t
decimalsystemi	N	–p, –t
decimeter	N	–ip, –it
demokrat	N	–ip, –it
demokrati	N	{–ip, –p}, {–it, –t}
demokrati	N	–p, –t
