Lexeme	WC	Flexion
uiartugaangajappoq	V	(no generation)
uiartugaa¦voq	V	–nngilaq
uiar¦tugaavoq	V	{–sugaanngilaq, –tugaanngilaq}
uiartu¦gaq	N	–kkap, –kkat
uiar¦tugaq	N	{–sukkap, –tukkap}, {–sukkat, –tukkat}
uiaru¦ppoq	V	–tinngilaq
uiffa¦k	N	–ap, –at
uiffa¦q	N	–ap, –at
uiffattaat	N	–ip, –it
uiffattaat	N, pl.	-
uiffatta¦rpoq	V	–nngilaq
uig¦aa	V	–inngilaa
uiggiu¦ppaa	V	–tinngilaa
uiggiu¦serpaa	V	{–sinngilaa, –tilinngilaa}
uiggiu¦serpaa	V	–tilinngilaa
uiggiu¦sersorpaa	V	{–sersunngilaa, –tilersunngilaa}
uiggiut	N	–ip, –it
uiggiutaa¦rpaa	V	–nngilaa
uiggut	N	–ip, –it
uiggutappallaaqaaq	V	(no generation)
uigguta¦ppoq	V	–nngilaq
uigiit	N, pl.	-
uigiligassa¦q	N	–p, –t
uiginngilaa	V	(no generation)
uigiuma¦vaa	V	–nngilaa
uigoori¦voq	V	–nngilaq
uig¦oorpaa	V	–uunngilaa
uig¦oq	N	–up, –ut
uigorl¦eq	N	–iup, –iit
uigorliu¦voq	V	–nngilaq
uigu	N	–p, –t
uigu¦aa	V	–nngilaa
uigukumia¦q	N	–p, –t
uigulequt	N	–ip, –it
uiguleriiaat	N, pl.	-
uiguloqutta¦q	N	–p, –t
uigune¦q	N	–rup, –rit
uiguneqanngilaq	V	(no generation)
uigunn¦erpaa	V	–inngilaa
uigunners¦orpaa	V	–unngilaa
uigusa¦q	N	–p, –t
uigusa¦rpaa	V	–nngilaa
uiguu¦serpaa	V	{–sinngilaa, –tilinngilaa}
uiguu¦sersorpaa	V	{–sersunngilaa, –tilersunngilaa}
uiguut	N	–ip, –it
uiguutaa¦voq	V	–nngilaq
uiguu¦tilerineq	N	{–serinerup, –tilerinerup}, {–serinerit, –tilerinerit}
uikkiart¦orpoq	V	–unngilaq
uikumia¦q	N	–p, –t
uiliukkuma¦vaa	V	–nngilaa
uiliu¦ppaa	V	–tinngilaa
uiliussinnaanngilaa	V	(no generation)
uiliuti¦ppaa	V	–nngilaa
uiliut¦ippaa	V	{–inngilaa, –itinngilaa, –sinngilaa}
uillaa¦t	N	{–t, –p}, –t
uillarne¦q	N	–rup, –rit
uillarnerussutisiat	N, pl.	-
uilla¦rpoq	V	–nngilaq
uilliarfi¦k	N	–up, –it
uillia¦rpoq	V	–nngilaq
uil¦oq	N	–lup, –lut
uiloraasaa¦rpoq	V	–nngilaq
uilo¦raq	N	–qqap, –qqat
uilorsi¦orpoq	V	–unngilaq
uilorsu¦aq	N	–up, –it
uilorta¦rpoq	V	–nngilaq
uilort¦orpoq	V	–unngilaq
uilua¦q	N	–p, –t
uilui¦k	N	–up, –it
uiluitta¦rpoq	V	–nngilaq
uilui¦ttarpoq	V	{–ssanngilaq, –ttanngilaq}
uiluuteqarne¦q	N	–rup, –rit
uineerulluinna¦rpoq	V	–nngilaq
uineerullu¦innarpoq	V	{–innanngilaq, –aannanngilaq}
uineeru¦ppoq	V	–tinngilaq
uineerutt¦oq	N	–up, –ut
uineqanngilaq	V	(no generation)
uineqanngits¦oq	N	–up, –ut
uineqqikkumanngilaq	V	(no generation)
uineqqi¦ppoq	V	–nngilaq
uineqqiut	N	–ip, –it
uineqqiut	N, pl.	-
uinequs¦erpoq	V	–inngilaq
uinequ¦serpoq	V	{–sinngilaq, –tilinngilaq}
uinequt	N	–ip, –it
uinequtaannaa¦voq	V	–nngilaq
uinequt¦aannaavoq	V	{–aannaanngilaq, –iinnaanngilaq}
uinequtaa¦rpoq	V	–nngilaq
uinequtig¦aa	V	–inngilaa
uinequtitaa¦rpoq	V	–nngilaq
uinerlaaju¦voq	V	–nngilaq
uinerlaa¦q	N	–p, –t
uinerlaa¦voq	V	–nngilaq
uinert¦ooq	N	–uup, –uut
uingaa¦rpoq	V	–nngilaq
uingajaa¦q	N	–p, –t
uingane¦q	N	–rup, –rit
uingas¦oq	N	–up, –ut
uingasormiu	N	–p, –t
uingassut	N	–ip, –it
uingassu¦t	N	–up, –it
uingassutig¦aa	V	–inngilaa
uingatitsi¦voq	V	–nngilaq
uingavallaa¦rpoq	V	–nngilaq
uinga¦voq	V	–nngilaq
uin¦ik	N	{–iup, –ngup}, –iit
uinikkallarfiunngilaq	V	(no generation)
uinillu¦ppoq	V	–nngilaq
uini¦ppoq	V	–nngilaq
uinissinnaanngilaq	V	(no generation)
uinissinnaanng¦orpoq	V	–unngilaq
uinittu¦voq	V	–nngilaq
uinna¦ppoq	V	–nngilaq
uinnarikkunnaa¦rpoq	V	–nngilaq
uinnari¦ppoq	V	–nngilaq
uinnariss¦oq	N	–up, –ut
uinnari¦ssoq	N	{–ssup, –ttup}, {–ssut, –ttut}
uinnarivi¦ppoq	V	–nngilaq
uinnassinnaanngilaq	V	(no generation)
uinneru¦voq	V	–nngilaq
uinngaaj¦oorpoq	V	–uunngilaq
uinngaajoorti¦ppaa	V	–nngilaa
uinnganii¦ppoq	V	–nngilaq
uinngerukkaluttuinna¦rpoq	V	–nngilaq
uinngeru¦ppoq	V	–tinngilaq
uinngerutt¦oq	N	–up, –ut
uinngialaa¦rpoq	V	–nngilaq
uinngialane¦q	N	–rup, –rit
uinngiala¦voq	V	–nngilaq
uinngiarpalla¦ppoq	V	–nngilaq
uinngia¦rpallappoq	V	{–pallanngilaq, –rpallanngilaq}
uinngia¦rpoq	V	–nngilaq
uinngiars¦orpaa	V	–unngilaa
uinngiars¦orpoq	V	–unngilaq
uinngiarsu¦ppoq	V	–nngilaq
uinnginnaa¦voq	V	–nngilaq
uinngiulaa¦rpoq	V	–nngilaq
uinngiulaartorsu¦uvoq	V	{–aanngilaq, –unngilaq}
uinngiulasorujussuu¦voq	V	–nngilaq
uinngiulasorujussu¦uvoq	V	{–aanngilaq, –unngilaq}
uinngiula¦voq	V	–nngilaq
uioori¦voq	V	–nngilaq
ui¦oorpaa	V	–uunngilaa
uiorl¦eq	N	–iup, –iit
uiorliu¦voq	V	–nngilaq
ui¦ppaa	V	–nngilaa
uippakajaarne¦q	N	–rup, –rit
uippalla¦ppoq	V	–nngilaq
uip¦pallappoq	V	{–allanngilaq, –pallanngilaq}
uippallernaqaaq	V	(no generation)
uippallerne¦q	N	–rup, –rit
uippall¦erpoq	V	–inngilaq
uippallersi¦ppaa	V	–nngilaa
uippalliu¦ppaa	V	–tinngilaa
uippalliussi¦voq	V	–nngilaq
ui¦ppoq	V	–nngilaq
uisaallaatig¦aa	V	–inngilaa
uisaalla¦ppoq	V	–nngilaq
uisaangaja¦ppoq	V	–nngilaq
uisaa¦voq	V	–nngilaq
uisagajunnerusa¦rpoq	V	–nngilaq
uisakajaa¦rpoq	V	–nngilaq
uisangus¦erpoq	V	–inngilaq
uisa¦q	N	–p, –t
uisaqqalaa¦rpoq	V	–nngilaq
uisarus¦erpoq	V	–inngilaq
uisati¦ppaa	V	–nngilaa
uisa¦voq	V	–nngilaq
uisillua¦rpaa	V	–nngilaa
ui¦silluarpaa	V	{–silluanngilaa, –tilluanngilaa, –tsilluanngilaa}
uisi¦ppaa	V	–nngilaa
ui¦sippaa	V	{–sinngilaa, –tinngilaa, –tsinngilaa}
uisitaa¦voq	V	–nngilaq
ui¦sitaavoq	V	{–sitaanngilaq, –titaanngilaq, –tsitaanngilaq}
uisitsis¦oq	N	–up, –ut
ui¦sitsisoq	N	{–sitsisup, –titsisup, –tsitsisup}, {–sitsisut, –titsisut, –tsitsisut}
uisi¦voq	V	–nngilaq
uisoreqattaa¦rpoq	V	–nngilaq
uisorerfig¦aa	V	–inngilaa
uisorerne¦q	N	–rup, –rit
uisor¦erpoq	V	–inngilaq
uisorer¦saat	N	{–saatip, –taatip}, {–saatit, –taatit}
uisorersarfig¦aa	V	–inngilaa
uisorersa¦rpoq	V	–nngilaq
uisorersorfig¦aa	V	–inngilaa
uisorers¦orpoq	V	–unngilaq
uisoriinna¦q	N	–p, –t
uisorilajua¦rpoq	V	–nngilaq
uisorilajunnaa¦rpoq	V	–nngilaq
uisorilasa¦rpoq	V	–nngilaq
uisorila¦voq	V	–nngilaq
uissaa¦rpoq	V	–nngilaq
uissaartaanna¦rpoq	V	–nngilaq
uissaa¦voq	V	–nngilaq
uissanngulaa¦rpoq	V	–nngilaq
uissanngunaqaaq	V	(no generation)
uissannguna¦rpoq	V	–nngilaq
uissanngune¦q	N	–rup, –rit
uissanngusa¦rpoq	V	–nngilaq
uissanngu¦voq	V	–nngilaq
uissa¦q	N	–p, –t
uissaqal¦erpoq	V	–inngilaq
uissaqqi¦ppoq	V	–nngilaq
uissia¦q	N	–p, –t
uissiaqa¦rpoq	V	–nngilaq
uissiar¦aa	V	–inngilaa
uissiars¦erpaa	V	–inngilaa
uissiartaa¦rpoq	V	–nngilaq
uissinnaanngilaq	V	(no generation)
uissukkiart¦orpaa	V	–unngilaa
uissu¦ppaa	V	–tinngilaa
uissuumminaqaaq	V	(no generation)
uissuummina¦rpoq	V	–nngilaq
uissuumminart¦oq	N	–up, –ut
uissuumminartulerine¦q	N	–rup, –rit
uissuummisi¦ppaa	V	–nngilaa
uissuummisitsi¦voq	V	–nngilaq
