Lexeme	WC	Flexion
oqaaseqaateqarfissa¦q	N	–p, –t
oqaaseqaa¦tilersuineq	N	{–sersuinerup, –tilersuinerup}, {–sersuinerit, –tilersuinerit}
oqaaseqanngits¦oq	N	–up, –ut
oqaaseqarfig¦aa	V	–inngilaa
oqaaseqarfigeqquneqa¦rpoq	V	–nngilaq
oqaaseqarfiginerusariaqanngilaq	V	(no generation)
oqaaseqarfigitsiarpaa	V	(no generation)
oqaaseqarne¦q	N	–rup, –rit
oqaaseqarnianngilaq	V	(no generation)
oqaaseqa¦rpoq	V	–nngilaq
oqaaseqarsinnaane¦q	N	–rup, –rit
oqaaseqartart¦oq	N	–up, –ut
oqaaseqartartuus¦oq	N	–up, –ut
oqaaseqartartuutita¦q	N	–p, –t
oqaaseqartita¦q	N	–p, –t
oqaaseqartitta¦gaq	N	–kkap, –kkat
oqaaseqatigiilerine¦q	N	–rup, –rit
oqaa¦seqatigiilerineq	N	{–seqatigiilerinerup, –tileqatigiilerinerup}, {–seqatigiilerinerit, –tileqatigiilerinerit}
oqaaseqatigiileri¦voq	V	–nngilaq
oqaaseqatigiiliorne¦q	N	–rup, –rit
oqaa¦seqatigiiliorneq	N	{–seqatigiiliornerup, –tileqatigiiliornerup}, {–seqatigiiliornerit, –tileqatigiiliornerit}
oqaaseqatigiit	N, pl.	-
oqaa¦seqatigiit	N, pl.	{–seqatigiit, –tileqatigiit}
oqaaser¦aa	V	–inngilaa
oqaaserineqa¦rajuttoq	N	{–kkajuttup, –rajuttup}, {–kkajuttut, –rajuttut}
oqaa¦serineqarajuttoq	N	{–serineqakkajuttup, –serineqarajuttup, –tilerineqakkajuttup, –tilerineqarajuttup}, {–serineqakkajuttut, –serineqarajuttut, –tilerineqakkajuttut, –tilerineqarajuttut}
oqaaserinerlu¦ppaa	V	–nngilaa
oqaaseri¦ppoq	V	–nngilaq
oqaaserisannaa¦q	N	–p, –t
oqaaserisa¦q	N	–p, –t
oqaaserisarta¦gaq	N	–kkap, –kkat
oqaa¦serisartagaq	N	{–serisartakkap, –tilerisartakkap}, {–serisartakkat, –tilerisartakkat}
oqaaserisat	N, pl.	-
oqaaserissaa¦rpoq	V	–nngilaq
oqaa¦serissaarpoq	V	{–serissaanngilaq, –tilerissaanngilaq}
oqaaserluffig¦aa	V	–inngilaa
oqaaserlu¦ppoq	V	–nngilaq
Oqaaserpassualeriffi¦k	N	–up, –it
Oqaaserpassualeriffi¦k	Prop	–up, –it
oqaaserpassualerine¦q	N	–rup, –rit
oqaaserpassualeris¦oq	N	–up, –ut
oqaaserpassual¦ik	N	{–iup, –lip, –lup}, –lit
oqaasersia¦q	N	–p, –t
oqaasersi¦ooq	N	–uup, –uut
oqaasersiuut	N	–ip, –it
oqaasersiuut	N, pl.	-
oqaasersi¦vaa	V	–nngilaa
oqaasertalers¦orpaa	V	–unngilaa
oqaasertalersuine¦q	N	–rup, –rit
oqaasertalersui¦voq	V	–nngilaq
oqaasertaligaanngits¦oq	N	–up, –ut
oqaa¦sertaligaanngitsoq	N	{–sertaligaanngitsup, –tilertaligaanngitsup}, {–sertaligaanngitsut, –tilertaligaanngitsut}
oqaasertaliine¦q	N	–rup, –rit
oqaasertaliussa¦q	N	–p, –t
oqaaserta¦q	N	–p, –t
oqaaserujuit	N, pl.	-
oqaasiinnaas¦oq	N	–up, –ut
oqaasiinnaliorne¦q	N	–rup, –rit
Oqaasileriffi¦k	N	–up, –it
Oqaasileriffi¦k	Prop	–up, –it
oqaasilerine¦q	N	–rup, –rit
Oqaasilerinermut, Atuakkialerinermut Tusagassiuutilerinermullu Immikkoortorta¦q	Prop	–p
oqaasileris¦oq	N	–up, –ut
oqaasilerissu¦siaq	N	{–siap, –tiliap}, {–siat, –tiliat}
oqaasilerissu¦siortoq	N	{–siortup, –tiliortup}, {–siortut, –tiliortut}
oqaasilerissutit	N, pl.	-
oqaasilerisuu¦voq	V	–nngilaq
oqaasileri¦voq	V	–nngilaq
oqaasilia¦q	N	–p, –t
oqaasil¦ik	N	{–iup, –lip, –lup}, –lit
oqaasiliorne¦q	N	–rup, –rit
Oqaasiliortut	N, pl.	-
Oqaasiliortut	Prop, pl.	-
oqaasiliortut	N, pl.	-
oqaasiliuutissat	N	–ip, –it
oqaasinnaa¦q	N	–p, –t
oqaasinng¦orpaa	V	–unngilaa
oqaasinngorti¦ppaa	V	–nngilaa
oqaasinnguussimas¦oq	N	–up, –ut
oqaasipalaa¦q	N	–p, –t
oqaasipalaat	N, pl.	-
oqaasipiluffigiti¦ppoq	V	–nngilaq
oqaa¦sipiluffigitippoq	V	{–sipiluffigitinngilaq, –tilipiluffigitinngilaq}
oqaasipilu¦k	N	–up, –it
oqaasipiluliorfig¦aa	V	–inngilaa
oqaasipilulissu¦uvoq	V	{–aanngilaq, –unngilaq}
oqaasipilunne¦q	N	–rup, –rit
oqaa¦sipilunneq	N	{–sipilunnerup, –tilipilunnerup}, {–sipilunnerit, –tilipilunnerit}
oqaasipilu¦ppoq	V	–nngilaq
oqaa¦sipiluppoq	V	{–sipilunngilaq, –tilipilunngilaq}
oqaasipilussaa¦rpoq	V	–nngilaq
oqaasipilussu¦aq	N	–up, –it
oqaasipiluttua¦rpoq	V	–nngilaq
oqaasipiluu¦ppaa	V	–tinngilaa
oqaasipiluussine¦q	N	–rup, –rit
oqaasipiluussi¦voq	V	–nngilaq
oqaasipiluut	N	–ip, –it
oqaasissaaru¦ppoq	V	–tinngilaq
oqaasissa¦q	N	–p, –t
oqaasissaqarfig¦aa	V	–inngilaa
oqaasissaqarfiginngilaa	V	(no generation)
oqaasissaqarfiginnitt¦oq	N	–up, –ut
oqaasissaqarluart¦oq	N	–up, –ut
oqaasissaqarne¦q	N	–rup, –rit
oqaasissaqarpianngilaq	V	(no generation)
oqaasissaqa¦rpoq	V	–nngilaq
oqaasissaqartitaane¦q	N	–rup, –rit
oqaasissaqartitaanerus¦oq	N	–up, –ut
oqaasissaqartitaas¦oq	N	–up, –ut
oqaasissaqart¦oq	N	–up, –ut
oqaasissaqartuune¦q	N	–rup, –rit
oqaasissaqartuunerus¦oq	N	–up, –ut
oqaasissarsiorne¦q	N	–rup, –rit
oqaasissiorneqa¦rpoq	V	–nngilaq
oqaasiss¦iorneqarpoq	V	{–aliorneqanngilaq, –iorneqanngilaq}
oqaasissi¦orpaa	V	–unngilaa
oqaasissiui¦voq	V	–nngilaq
oqaasitoqaas¦oq	N	–up, –ut
oqaasiusart¦oq	N	–up, –ut
oqaa¦siusartoq	N	{–siusartup, –tiliusartup}, {–siusartut, –tiliusartut}
oqaassaanngilaq	V	(no generation)
oqaassi¦voq	V	–nngilaq
oqaassut	N	–ip, –it
oqaassutig¦aa	V	–inngilaa
oqaatig¦aa	V	–inngilaa
oqaatigeqqunngisa¦q	N	–p, –t
oqaatigiinna¦gaq	N	–kkap, –kkat
oqaatigineqanngits¦oq	N	–up, –ut
oqa¦atigineqanngitsoq	N	{–atigineqanngitsup, –jutigineqanngitsup}, {–atigineqanngitsut, –jutigineqanngitsut}
oqaatiginerlu¦ppaa	V	–nngilaa
oqaatiginneriaa¦seq	N	–tsip, –tsit
oqaatiginni¦ppoq	V	–nngilaq
oqaatiginnitt¦oq	N	–up, –ut
oqaatigisaane¦q	N	–rup, –rit
oqaatigisaas¦oq	N	–up, –ut
oqaatigisa¦q	N	–p, –t
oqaatigisassaanngits¦oq	N	–up, –ut
oqaatigis¦oorpaa	V	–uunngilaa
oqaatigitsiarpaa	V	(no generation)
oqaatilliis¦oq	N	–up, –ut
oqaatillii¦voq	V	–nngilaq
oqaatissuaane¦q	N	–rup, –rit
oqaatissuaas¦oq	N	–up, –ut
oqaatissuaa¦voq	V	–nngilaq
oqaatissua¦rpaa	V	–nngilaa
oqaatsart¦orpaa	V	–unngilaa
oqaatseria¦rpoq	V	–nngilaq
oqaatseriart¦oq	N	–up, –ut
oqaat¦seriartoq	N	{–iteriartup, –seriartup}, {–iteriartut, –seriartut}
oqaatseriilli¦voq	V	–nngilaq
oqaatserii¦ppoq	V	–nngilaq
oqaatseriissu¦seq	N	–tsip, –tsit
oqaat¦seriissuseq	N	{–iteriissutsip, –seriissutsip}, {–iteriissutsit, –seriissutsit}
oqaatseriits¦oq	N	–up, –ut
oqaatserii¦tsoq	N	{–ssup, –tsup, –ttup}, {–ssut, –tsut, –ttut}
oqaatserit¦ooq	N	–uup, –uut
oqaatserituallaaqaaq	V	(no generation)
oqaatseri¦voq	V	–nngilaq
Oqaatsit	N, pl.	-
oqaatsit	N, pl.	-
Oqaatsit minutsimut	Prop	–ip
oqaats¦oq	N	–up, –ut
oqaatsornia¦rpoq	V	–nngilaq
oqaatsua¦q	N	–p, –t
oqaatsueru¦ppoq	V	–tinngilaq
oqaatsunuka¦rpoq	V	–nngilaq
Oqaatsut	N, pl.	-
Oqaatsut	Prop, pl.	-
oqaatsuusa¦q	N	–p, –t
oqajamaa¦q	N	–p, –t
oqajamaas¦oq	N	–up, –ut
oqajamaassu¦seq	N	–tsip, –tsit
oqajamaa¦voq	V	–nngilaq
oqajuerne¦q	N	–rup, –rit
oqaju¦erpoq	V	–inngilaq
oqajuer¦soq	N	{–sup, –tup}, {–sut, –tut}
oqajuissu¦seq	N	–tsip, –tsit
oqajuits¦oq	N	–up, –ut
oqaki¦ppoq	V	–nngilaq
oqakivi¦ppoq	V	–nngilaq
oqallatsiarne¦q	N	–rup, –rit
oqallatsia¦rpoq	V	–nngilaq
oqallatsiarta¦rpoq	V	–nngilaq
oqallattaal¦erpoq	V	–inngilaq
oqallattaa¦rpoq	V	–nngilaq
oqalliffi¦k	N	–up, –it
oqalliffissaanngilaq	V	(no generation)
oqallinne¦q	N	–rup, –rit
oqallippalunne¦q	N	–rup, –rit
oqallisaa	N	–p, –t
oqallisaajua¦rpoq	V	–nngilaq
oqallisaajunnaa¦rpoq	V	–nngilaq
oqallisaa¦voq	V	–nngilaq
oqalliseqataas¦oq	N	–up, –ut
oqalliseriaa¦seq	N	–tsip, –tsit
oqallisig¦aa	V	–inngilaa
oqallisigeqqusaanngits¦oq	N	–up, –ut
oqallisigineqangaart¦oq	N	–up, –ut
oqallisigineqart¦oq	N	–up, –ut
oqallisigingaalerpaa	V	(no generation)
oqallisiginneqqaarne¦q	N	–rup, –rit
oqallisiginnikkusunnginne¦q	N	–rup, –rit
oqallisiginni¦ppoq	V	–nngilaq
oqallisiginnitt¦oq	N	–up, –ut
oqallisiginni¦ttoq	N	{–ssup, –ttup}, {–ssut, –ttut}
oqallisigiua¦rpaa	V	–nngilaa
oqallisigiunnaa¦rpaa	V	–nngilaa
oqallisissaanngilaq	V	(no generation)
oqallisissia¦q	N	–p, –t
oqallissaarisart¦oq	N	–up, –ut
oqallissaari¦voq	V	–nngilaq
oqallissaarut	N	–ip, –it
oqallissaaruteqarne¦q	N	–rup, –rit
oqallissutig¦aa	V	–inngilaa
oqallit	N, pl.	-
oqallittarfi¦k	N	–up, –it
oqalloringaa¦rpoq	V	–nngilaq
oqallorippallaanngilaq	V	(no generation)
oqallori¦ppoq	V	–nngilaq
oqallorissaa¦rpoq	V	–nngilaq
oqallorissaas¦oq	N	–up, –ut
oqallori¦ssaat	N	{–ssaatip, –ttaatip}, {–ssaatit, –ttaatit}
oqallorissarne¦q	N	–rup, –rit
oqallori¦ssarneq	N	{–ssarnerup, –ttarnerup}, {–ssarnerit, –ttarnerit}
oqallorissi¦voq	V	–nngilaq
oqallori¦ssoq	N	{–ssup, –ttup}, {–ssut, –ttut}
oqallorissorsuu¦voq	V	–nngilaq
oqallori¦ssorsuuvoq	V	{–ssorsuaanngilaq, –ssorsuunngilaq, –ttorsuaanngilaq, –ttorsuunngilaq}
oqallorissu¦seq	N	–tsip, –tsit
oqalloriusa¦q	N	–p, –t
oqallorlu¦ppoq	V	–nngilaq
oqallorluttuu¦voq	V	–nngilaq
oqallort¦ooq	N	–uup, –uut
oqallortunersaa¦voq	V	–nngilaq
oqallortu¦voq	V	–nngilaq
oqalluki¦ppoq	V	–nngilaq
oqallukitsuunngilaq	V	(no generation)
oqallutsippallaa¦rpoq	V	–nngilaq
oqallutsissutig¦aa	V	–inngilaa
oqaloqateqarne¦q	N	–rup, –rit
oqaloqateqa¦rpoq	V	–nngilaq
oqaloqatig¦aa	V	–inngilaa
oqaloqatigeerujoorne¦q	N	–rup, –rit
oqaloqatigiinne¦q	N	–rup, –rit
oqaloqatigiinnerit	N, pl.	-
oqaloqatigiissuteqarne¦q	N	–rup, –rit
oqaloqatigiissutig¦aa	V	–inngilaa
oqaloqatigiissutissaa¦voq	V	–nngilaq
oqaloqatigiissutissa¦q	N	–p, –t
oqaloqatigiissutit	N, pl.	-
oqaloqatigiitsiarne¦q	N	–rup, –rit
oqaloqatigineqarsinnaas¦oq	N	–up, –ut
oqaloqatiginninne¦q	N	–rup, –rit
oqaloqatiginni¦ppoq	V	–nngilaq
oqaloqatiginnitsitaas¦oq	N	–up, –ut
oqaloqatigiuminart¦oq	N	–up, –ut
oqaloqatikkuminart¦oq	N	–up, –ut
oqaloqqi¦ppoq	V	–nngilaq
oqalorujoorpoq	V	(no generation)
oqalorujuffig¦aa	V	–inngilaa
oqalorujukkajuppoq	V	(no generation)
oqalorujul¦erpoq	V	–inngilaq
oqalorujunne¦q	N	–rup, –rit
oqaloruju¦ppoq	V	–nngilaq
oqalorujuttaanna¦rpoq	V	–nngilaq
oqalorujuunne¦q	N	–rup, –rit
oqalorujuu¦ppaa	V	–tinngilaa
oqalorujuussine¦q	N	–rup, –rit
oqalorujuussi¦voq	V	–nngilaq
oqalorujuut	N	–ip, –it
oqalorusaarne¦q	N	–rup, –rit
oqalorusaa¦rpoq	V	–nngilaq
oqalorussaa¦ppaa	V	–tinngilaa
oqalorussa¦rpoq	V	–nngilaq
oqaloruusa¦rpoq	V	–nngilaq
oqaluagaju¦ppoq	V	–nngilaq
oqalualaa¦q	N	–p, –t
oqalualaaqaqaaq	V	(no generation)
oqalualaar¦aa	V	–inngilaa
oqalualaa¦rpoq	V	–nngilaq
oqalualaarsi¦orpaa	V	–unngilaa
oqalualaarut	N	–ip, –it
oqalualuffig¦aa	V	–inngilaa
oqalualunne¦q	N	–rup, –rit
oqalualuppalu¦k	N	–up, –it
oqalualu¦ppoq	V	–nngilaq
oqaluarpalu¦k	N	–up, –it
oqaluarpalu¦ppoq	V	–nngilaq
oqaluasaal¦ik	N	{–iup, –lip, –lup}, –lit
oqaluasaa¦q	N	–p, –t
oqaluasaa¦rpoq	V	–nngilaq
oqaluatsiia¦q	N	–p, –t
oqalua¦voq	V	–nngilaq
oqaluffig¦aa	V	–inngilaa
oqaluffigaaq	V	(no generation)
oqaluffi¦k	N	–up, –it
oqaluffik¦oq	N	–up, –ut
oqaluffissaa¦q	N	–p, –t
oqaluffissaarsu¦aq	N	–up, –it
oqaluffitoq¦aq	N	–qap, –qat
oqaluffittaa¦q	N	–p, –t
oqalugiaat	N	–ip, –it
oqalugiarfi¦k	N	–up, –it
oqalugiarne¦q	N	–rup, –rit
oqalugia¦rpoq	V	–nngilaq
oqalugiartart¦oq	N	–up, –ut
oqalugiarti¦ppaa	V	–nngilaa
oqalugiartitsi¦voq	V	–nngilaq
oqalugiart¦oq	N	–up, –ut
oqaluinnarne¦q	N	–rup, –rit
oqaluinnarniut	N	–ip, –it
oqaluinna¦rpoq	V	–nngilaq
oqalukkumat¦ooq	N	–uup, –uut
oqalukuluffig¦aa	V	–inngilaa
oqalukulu¦ppoq	V	–nngilaq
oqalul¦erpoq	V	–inngilaq
oqalulersi¦ppaa	V	–nngilaa
oqalulinnguaraluarpoq	V	(no generation)
oqalullaqqi¦ppoq	V	–nngilaq
oqalullaqqiss¦oq	N	–up, –ut
oqalullaqqi¦ssoq	N	{–ssup, –ttup}, {–ssut, –ttut}
oqalullaqqissu¦seq	N	–tsip, –tsit
oqalullaqqissuunngilaq	V	(no generation)
oqalulla¦rpoq	V	–nngilaq
oqalulluarsinnaanngits¦oq	N	–up, –ut
oqalungus¦erpoq	V	–inngilaq
oqalungusiaat	N	–ip, –it
oqalungusiallaqqi¦ppoq	V	–nngilaq
oqalungusia¦rpoq	V	–nngilaq
oqalungusiut	N	–ip, –it
oqalungussarne¦q	N	–rup, –rit
oqalungussa¦rpoq	V	–nngilaq
oqalunne¦q	N	–rup, –rit
oqalunnerul¦erpoq	V	–inngilaq
oqalunnguatsiaraluarpoq	V	(no generation)
oqalupiluffig¦aa	V	–inngilaa
oqalupi¦luffigaa	V	{–luffiginngilaa, –piluffiginngilaa}
oqalupilukkajuppoq	V	(no generation)
oqalupilu¦ppoq	V	–nngilaq
oqaluppalaanngu¦aq	N	–up, –it
oqaluppalaa¦q	N	–p, –t
oqaluppalaar¦aa	V	–inngilaa
oqaluppalaarisa¦q	N	–p, –t
oqaluppalaarniartorujussu¦aq	N	–up, –it
oqaluppalaa¦rpoq	V	–nngilaq
oqaluppallaaqaaq	V	(no generation)
oqaluppallaarne¦q	N	–rup, –rit
oqaluppallaarnersu¦aq	N	–up, –it
oqaluppallaa¦rpoq	V	–nngilaq
oqaluppallaartaqaaq	V	(no generation)
oqalu¦ppoq	V	–nngilaq
oqalussinnaajunnaarne¦q	N	–rup, –rit
oqalussinnaane¦q	N	–rup, –rit
oqalussinnaanng¦orpoq	V	–unngilaq
oqalussinnaanngorti¦ppaa	V	–nngilaa
oqalussinnaas¦oq	N	–up, –ut
oqalussinnaa¦voq	V	–nngilaq
oqalutseqarne¦q	N	–rup, –rit
oqalutsi	N	–p, –t
oqalutsig¦aa	V	–inngilaa
oqalutsigisa¦q	N	–p, –t
oqalutsiu¦voq	V	–nngilaq
oqaluttaagalu¦aq	N	–up, –it
oqaluttaane¦q	N	–rup, –rit
oqaluttaa¦seq	N	–tsip, –tsit
oqaluttaat	N	–ip, –it
oqaluttaa¦voq	V	–nngilaq
oqaluttarfi¦k	N	–up, –it
oqaluttarne¦q	N	–rup, –rit
oqalutta¦rpoq	V	–nngilaq
oqaluttart¦oq	N	–up, –ut
oqalutt¦oq	N	–up, –ut
oqaluttorujussuanng¦orpoq	V	–unngilaq
oqaluttuaanna¦rpoq	V	–nngilaq
oqaluttuaaralia¦q	N	–p, –t
oqaluttuaas¦oq	N	–up, –ut
oqaluttuaateqarne¦q	N	–rup, –rit
oqaluttualeqqaarpoq	V	(no generation)
oqaluttualerit¦ooq	N	–uup, –uut
oqaluttual¦erpoq	V	–inngilaq
oqaluttualia¦q	N	–p, –t
oqaluttualiat	N, pl.	-
oqaluttualiorne¦q	N	–rup, –rit
oqaluttualiortart¦oq	N	–up, –ut
oqaluttualiort¦oq	N	–up, –ut
oqaluttualiullaqqi¦ppoq	V	–nngilaq
oqaluttuallaqqi¦ppoq	V	–nngilaq
oqaluttuallaqqissu¦seq	N	–tsip, –tsit
oqaluttua¦q	N	–p, –t
oqaluttuar¦aa	V	–inngilaa
oqaluttuareqqiine¦q	N	–rup, –rit
oqaluttuareqqi¦ppaa	V	–nngilaa
oqaluttuareqqita¦q	N	–p, –t
oqaluttuarfig¦aa	V	–inngilaa
oqaluttuariaa¦seq	N	–tsip, –tsit
oqaluttuarineqa¦rpoq	V	–nngilaq
oqaluttuarineqarsinnaanngits¦oq	N	–up, –ut
oqaluttuarinninne¦q	N	–rup, –rit
oqaluttuarinnissinnaassu¦seq	N	–tsip, –tsit
oqaluttuarisaane¦q	N	–rup, –rit
oqaluttuarissa¦vaa	V	–nngilaa
oqaluttuarne¦q	N	–rup, –rit
oqaluttuarpalaart¦oq	N	–up, –ut
oqaluttua¦rpoq	V	–nngilaq
oqaluttuarsinnaassu¦seq	N	–tsip, –tsit
oqaluttuartart¦oq	N	–up, –ut
oqaluttuart¦oq	N	–up, –ut
oqaluttuaruju¦k	N	–up, –it
oqaluttuarumat¦ooq	N	–uup, –uut
oqaluttuassarsi¦orpoq	V	–unngilaq
oqaluttuat	N, pl.	-
Oqaluttuat Ilumoortut	Prop	–-ip
oqaluttuatoq¦aq	N	{–qap, –ap}, {–qat, –at}
oqaluttuatoqqat	N, pl.	-
oqaluttuu¦ppaa	V	–tinngilaa
oqaluttuussi¦voq	V	–nngilaq
oqaluukkuminaa¦ppoq	V	–nngilaq
oqaluukkumina¦rpoq	V	–nngilaq
oqaluukkuminart¦oq	N	–up, –ut
oqaluummari¦ppoq	V	–nngilaq
oqaluu¦ppaa	V	–tinngilaa
oqaluuppoq	V	(no generation)
oqaluusaa¦voq	V	–nngilaq
oqaluu¦seq	N	–tsip, –tsit
oqaluuser¦aa	V	–inngilaa
oqaluusereqqi¦ppaa	V	–nngilaa
oqaluuserineqaler¦sippaa	V	{–sinngilaa, –tinngilaa}
oqaluu¦serineqalersippaa	V	{–serineqalersinngilaa, –serineqalertinngilaa, –tilerineqalersinngilaa, –tilerineqalertinngilaa}
oqaluuserineqanngits¦oq	N	–up, –ut
oqaluu¦serineqanngitsoq	N	{–serineqanngitsup, –tilerineqanngitsup}, {–serineqanngitsut, –tilerineqanngitsut}
oqaluuserineqart¦oq	N	–up, –ut
oqaluu¦serineqartoq	N	{–serineqartup, –tilerineqartup}, {–serineqartut, –tilerineqartut}
oqaluuserinngivippaa	V	(no generation)
oqaluuserinni¦ppoq	V	–nngilaq
oqaluuserisa¦q	N	–p, –t
oqaluuserisassa¦q	N	–p, –t
oqaluuserisassat	N, pl.	-
oqaluusissi¦orpoq	V	–unngilaq
oqaluusiss¦iorpoq	V	{–aliunngilaq, –iunngilaq}
oqaluusiu¦voq	V	–nngilaq
oqaluussaanngilaq	V	(no generation)
oqaluussa¦q	N	–p, –t
oqaluussassaanngilaq	V	(no generation)
oqaluussiartortikkuma¦vaa	V	–nngilaa
oqaluussine¦q	N	–rup, –rit
oqaluussinerit	N, pl.	-
oqaluussisart¦oq	N	–up, –ut
oqaluussis¦oq	N	–up, –ut
oqaluussissut	N	–ip, –it
oqaluussi¦ssut	N, pl.	{–ssut, –ttut}
oqaluussissutig¦aa	V	–inngilaa
oqaluussi¦voq	V	–nngilaq
oqaluusuunngilaq	V	(no generation)
oqaluut	N	–ip, –it
oqaluutaasa¦q	N	–p, –t
oqaluutaassut	N	–ip, –it
oqaluutaa¦voq	V	–nngilaq
oqaluuteqarfi¦k	N	–up, –it
oqaluutig¦aa	V	–inngilaa
oqaluutinngorti¦ppaa	V	–nngilaa
oqaluutita¦q	N	–p, –t
oqaluu¦voq	V	–nngilaq
oqamisaa¦rpoq	V	–nngilaq
oqami¦voq	V	–nngilaq
oqanngikkalua¦rpoq	V	–nngilaq
oqanngisaanna¦rpoq	V	–nngilaq
oqa¦pallappoq	V	{–pallanngilaq, –rpallanngilaq}
oqa¦pallattarpoq	V	{–pallattanngilaq, –rpallattanngilaq}
oqapil¦oorpoq	V	–uunngilaq
oqapiluffig¦aa	V	–inngilaa
oqa¦piluffigaa	V	{–piluffiginngilaa, –ripiluffiginngilaa}
oqapilu¦ppoq	V	–nngilaq
oq¦aq	N	{–ap, –qap}, {–at, –qat}
oqaqqaa¦rpoq	V	–nngilaq
oqaqqaartuu¦voq	V	–nngilaq
oqaqqarniut	N	–ip, –it
oqaqqusaannginne¦q	N	–rup, –rit
oqar¦aa	V	–inngilaa
oqaraanngilaq	V	(no generation)
oqaraluanngilaq	V	(no generation)
oqarasuaat	N	–ip, –it
oqarasuaateqarfi¦k	N	–up, –it
oqarasuaa¦tilerisoq	N	{–serisup, –tilerisup}, {–serisut, –tilerisut}
oqarasuarfig¦aa	V	–inngilaa
oqarasuarne¦q	N	–rup, –rit
oqarasua¦rpoq	V	–nngilaq
oqarasuartaat	N	–ip, –it
oqarasuartarfi¦k	N	–up, –it
oqarataarajuppoq	V	(no generation)
oqarataa¦rpoq	V	–nngilaq
oqarataartaanna¦rpoq	V	–nngilaq
oqarataart¦oq	N	–up, –ut
oqarataassu¦seq	N	–tsip, –tsit
oqarfig¦aa	V	–inngilaa
oqarfigaaq	V	(no generation)
oqarfigeqqi¦ppaa	V	–nngilaa
